,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,,,,,,,,,,,,,,,
,,,,Agrimony,Autumn,Birdsfoot,Black,Bramble,Common,Common,Eyebright,Fairy,Field,Field,Fools,Hemp,Hoary,Lesser,Meadow,Old,Ragwort,Red,Rosebay,Rough,Smooth,Upright,Wild,Wild,,,,,,,,,,,,,,,,,,,,
Poll_Code,order,plant,,---,hawkbit,trefoil,medic,---,catsear,knapweed,---,flax,bindweed,scabious,parsley,agrimony,plantain,Hawkbit,vetchling,mans_beard,---,clover,willowherb,hawkbit,hawkbit,hedge_parsle,angelica,carrot,,,,,,,,,,,,,,,,,,,,
34,DIP,Agrimony,,1,20,0,0,0,8,3,0,1,0,6,8,6,0,7,0,1,3,1,3,139,10,43,2,125,,,,,,,,,,,,,,,,,,,,
35,DIP,Agrimony,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,,,,,,,,,,,,,,,,,,,,
36,DIP,Hemp,agrimony,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
37,DIP,Wild,angelica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
38,DIP,Wild,carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
39,DIP,Wild,carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
40,DIP,Hemp,agrimony,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,9,,,,,,,,,,,,,,,,,,,,
41,DIP,Wild,carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,
42,DIP,Autumn,hawkbit,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,8,0,0,1,12,,,,,,,,,,,,,,,,,,,,
43,DIP,Agrimony,,2,0,0,0,0,3,9,0,1,1,0,9,4,0,2,0,3,1,1,0,35,0,36,0,52,,,,,,,,,,,,,,,,,,,,
44,DIP,Field,scabious,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,
45,DIP,Autumn,hawkbit,0,1,0,0,0,0,1,0,0,0,10,0,4,0,0,0,0,0,1,0,11,0,0,0,5,,,,,,,,,,,,,,,,,,,,
46,DIP,Common,knapweed,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,,,,,,,,,,,,,,,,,,,,
47,DIP,Hemp,agrimony,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
48,DIP,Agrimony,,1,0,0,0,0,2,0,0,1,0,0,2,0,4,0,0,0,1,0,0,0,1,2,0,12,,,,,,,,,,,,,,,,,,,,
49,DIP,Hoary,plantain,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,1,0,4,,,,,,,,,,,,,,,,,,,,
50,DIP,Fools,parsley,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,
51,DIP,Agrimony,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,
52,DIP,Eyebright,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,,,,,,,,,,,,,,,,,,,,
53,DIP,Agrimony,,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
54,DIP,Wild,carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
55,DIP,Field,scabious,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,
56,DIP,Hemp,agrimony,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
57,DIP,Agrimony,,2,16,0,3,0,14,8,0,16,1,2,0,16,0,3,0,0,3,2,1,101,5,3,0,51,,,,,,,,,,,,,,,,,,,,
58,DIP,Autumn,hawkbit,0,1,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,6,0,6,1,40,,,,,,,,,,,,,,,,,,,,
59,DIP,Wild,carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,
60,DIP,Upright,hedge_parsle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,,,,,,,,,,,,,,,,,,,,
61,DIP,Wild,carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
62,HY,Common,knapweed,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
63,HY,Field,scabious,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
64,HY,Birdsfoot,trefoil,0,0,1,0,0,0,7,0,0,0,4,0,0,0,0,1,0,0,14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
65,HY,Common,knapweed,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
66,HY,Field,scabious,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
67,HY,Common,knapweed,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
68,HY,Eyebright,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,6,1,63,,,,,,,,,,,,,,,,,,,,
69,HY,Upright,hedge_parsle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,
70,HY,Field,scabious,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,8,1,53,,,,,,,,,,,,,,,,,,,,
71,HY,Common,knapweed,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
72,HY,Autumn,hawkbit,0,7,0,1,0,3,3,0,1,2,0,0,0,0,0,0,0,2,1,4,58,4,0,0,6,,,,,,,,,,,,,,,,,,,,
73,L,Birdsfoot,trefoil,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
74,L,Common,knapweed,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
75,L,Autumn,hawkbit,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
76,L,Rough,hawkbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,
77,L,Field,scabious,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
78,L,Red,clover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
79,L,Field,scabious,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,
